#START7777
# YYMMDDHHMI   STN IW IR IX CH VV CA  WD   WS    TA    TD    HM     PA     PS PT     PR     RN RH WC WP CD CL CM CT  S19    TM    Tm  S33  S34  S35  S36  S37  S28  S29
#        UTC    ID -- -- -- -- --  8 deg  m/s     C     C     %    hPa    hPa --    hPa     mm 6h -- --  8 -- -- -- ----     C     C ---- ---- ---- ---- ---- ---- ----
202211300900 47131  4  3  2  9 84  3 290  2.0  -3.0 -13.8  43.1 1024.8 1032.4  2    1.7  -99.0  0 -9 -9  0  0  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47133  4  3  2  9 84  5 320  2.0  -3.5 -13.2  46.9 1023.9 1033.0  2    1.5  -99.0  0 -9 -9  0  0  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47135  4  3  6  9 83  6 270  3.5  -4.5 -14.3  46.3 1000.3 1031.8  2    2.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47136  4  3  2  9 84  5 290  4.5  -2.8 -17.6  31.0 1013.2 1031.4  2    2.5  -99.0  0 -9 -9  0  0  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47137  4  3  6  9 84  6 250  2.5  -3.1 -14.5  41.0 1018.4 1030.9  2    2.5  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47138  4  3  2  9 70  6 270  2.5   0.8 -18.0  23.0 1028.4 1028.9  2    2.0  -99.0  0 -9 -9  0  0  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47140  4  3  6  9 84  6 320  2.5  -2.3 -10.3  54.2 1030.5 1034.1  2    1.9  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47143  4  3  2  9 70  6 250  5.0  -0.3 -12.6  38.9 1023.4 1030.3  2    2.2  -99.0  0 -9 -9  0  0  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47145  4  4  6  9 83  2 320  1.5  -3.7 -12.6  50.0 1021.8 1032.8  2    1.7  -99.0  0 -9 -9 -9 -9 -9 -9 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
202211300900 47146  4  3  2  9 70  5 340  3.5  -2.3 -10.6  52.9 1025.1 1032.9  2    1.8  -99.0  0 -9 -9  0  0  0  1 -999 -99.0 -99.0 -999 -999 -999 -999 -999 -999 -999
